t,h,s,v,vs,altitude,vertical_rate,groundspeed,fuel_burn,co2,fuel_burn_h2,co2_h2,co2_savings
4840,10911.84,1062886.9087789156,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4850,10911.84,1065191.4926115768,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4860,10911.84,1067496.0764442382,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4870,10911.84,1069800.6602768996,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4880,10911.84,1072105.2441095607,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4890,10911.84,1074409.827942222,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4900,10911.84,1076714.4117748833,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4910,10911.84,1079018.9956075447,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4920,10911.84,1081323.5794402058,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4930,10911.84,1083628.163272867,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4940,10911.84,1085932.7471055284,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4950,10911.84,1088237.3309381898,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4960,10911.84,1090541.914770851,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4970,10911.84,1092846.498603512,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4980,10911.84,1095151.0824361735,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4990,10911.84,1097455.6662688348,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5000,10911.84,1099760.250101496,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5010,10911.84,1102064.8339341572,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
